"","OR5","OR6","OR7","OR8"
"1",0.573925221514934,0.579800030974105,0.581481193915923,0.582634078667258
"2",0.575161411230407,0.588132217179712,0.5866468441516,0.586911695909173
"3",0.577536713454761,0.587431128471086,0.582817238435486,0.589162320229758
"4",0.57954641253286,0.574402091539935,0.590328432224758,0.588714797243467
"5",0.578063976115581,0.579059065920877,0.58538455660045,0.587455878656744
"6",0.578765738940619,0.580048757397482,0.584767876386485,0.585822159569004
"7",0.578452408136371,0.575691526000334,0.581627052818338,0.590219593284867
"8",0.580401685087442,0.577300583681099,0.581896427658588,0.588032584877161
"9",0.577498987531349,0.579858016376812,0.584183289448539,0.594776782299321
"10",0.579098363887058,0.583627862100218,0.586412584824111,0.587701756111419
"11",0.573855180746303,0.57910846028048,0.58338948457335,0.595023310223455
"12",0.573979626068136,0.577714029699781,0.581669508048938,0.583499203044823
"13",0.577319711214063,0.57840162765671,0.592512753839103,0.587651930151029
"14",0.571859014101921,0.580368844103788,0.587091508723613,0.59009119061409
"15",0.572688870699058,0.580798197622331,0.589728770082041,0.600633609288497
"16",0.577058340027515,0.578953920822963,0.579070348461017,0.588926460004715
"17",0.584689258553019,0.577928673352916,0.585981772170551,0.584958075942571
"18",0.574801512933661,0.579558306499154,0.585841346098496,0.573456735194924
"19",0.57611246271188,0.578617777639175,0.588708369408288,0.601906578015486
"20",0.575270779449973,0.584653241994817,0.589325769202428,0.584022961051449
